r Model,Age,Mileage,Engine Size (in liters),Horsepower,Number of Owners,Selling Price
Toyota Corolla,4,45000,1.8,140,1,12500
Honda Civic,3,35000,2,160,2,15000
Ford Focus,5,60000,1.6,120,1,10000
BMW 3 Series,6,70000,2,180,2,18000
Mercedes C-Class,2,25000,2.2,190,1,22000
Audi A4,7,80000,2,170,1,16000
Volkswagen Jetta,1,10000,1.4,130,1,14000
Hyundai Elantra,4,50000,1.8,150,2,11500
Kia Optima,2,30000,2.4,200,1,19500
Subaru Impreza,5,55000,2,160,2,14000
Nissan Altima,3,40000,2.5,210,1,20500
Tesla Model 3,2,15000,0,300,1,35000
Ford Fusion,6,70000,2.5,175,1,17000
Subaru Legacy,4,45000,2.5,175,2,15500
Toyota Camry,5,60000,3.5,270,1,22500
Hyundai Sonata,3,35000,2.4,185,1,16500
Ford Escape,4,50000,2,180,1,16000
Chevrolet Malibu,5,55000,2,160,2,14500
Honda Accord,3,40000,2.4,190,1,18000
Nissan Sentra,6,70000,1.8,130,1,12000
Toyota Prius,2,20000,1.5,120,1,15000
BMW 5 Series,4,45000,2.5,220,2,25000
Volkswagen Golf,3,35000,1.8,170,1,13500
Subaru Outback,5,60000,2.5,160,2,19500
Ford Mustang,7,80000,5,450,1,30000
Audi Q5,1,10000,2,220,1,28000
